Date,error_bull,error_bear,min_error,argmin_regime,gap
2011-01-28,0.00192044,0.011480149,0.00192044,bull,0.009559709
2011-01-31,0.0018664596,0.011571706,0.0018664596,bull,0.009705246
2011-02-01,0.0018880347,0.011621256,0.0018880347,bull,0.0097332215
2011-02-02,0.0018724032,0.011823361,0.0018724032,bull,0.009950957
2011-02-03,0.0017183254,0.01176697,0.0017183254,bull,0.010048645
2011-02-04,0.0016575586,0.011938074,0.0016575586,bull,0.010280515
2011-02-07,0.0016885381,0.011898352,0.0016885381,bull,0.010209814
2011-02-08,0.0017697834,0.012093608,0.0017697834,bull,0.010323824
2011-02-09,0.0017753695,0.012148621,0.0017753695,bull,0.0103732515
2011-02-10,0.0018634719,0.012033989,0.0018634719,bull,0.010170517
2011-02-11,0.0018963976,0.012039245,0.0018963976,bull,0.010142848
2011-02-14,0.0019231681,0.011825164,0.0019231681,bull,0.009901996
2011-02-15,0.0019097149,0.011739407,0.0019097149,bull,0.009829692
2011-02-16,0.0018934292,0.011517993,0.0018934292,bull,0.009624564
2011-02-17,0.0021836024,0.011268,0.0021836024,bull,0.009084398
2011-02-18,0.0022369535,0.011229958,0.0022369535,bull,0.008993005
2011-02-22,0.0023851625,0.011247065,0.0023851625,bull,0.008861902
2011-02-23,0.002401788,0.011083229,0.002401788,bull,0.008681442
2011-02-24,0.0024699427,0.010864859,0.0024699427,bull,0.008394917
2011-02-25,0.0024572918,0.010555568,0.0024572918,bull,0.008098276
2011-02-28,0.0024920055,0.010570323,0.0024920055,bull,0.008078318
2011-03-01,0.002663582,0.010394676,0.002663582,bull,0.0077310936
2011-03-02,0.0028113609,0.010436648,0.0028113609,bull,0.0076252865
2011-03-03,0.0028092738,0.010225624,0.0028092738,bull,0.00741635
2011-03-04,0.0027796903,0.009959166,0.0027796903,bull,0.0071794754
2011-03-07,0.0027428367,0.009814575,0.0027428367,bull,0.0070717386
2011-03-08,0.0027368132,0.009513469,0.0027368132,bull,0.006776656
2011-03-09,0.0027601456,0.00941566,0.0027601456,bull,0.0066555142
2011-03-10,0.0028077147,0.009288993,0.0028077147,bull,0.0064812778
2011-03-11,0.0028244974,0.009015445,0.0028244974,bull,0.0061909473
2011-03-14,0.0027849765,0.008952273,0.0027849765,bull,0.0061672963
2011-03-15,0.002782346,0.00876064,0.002782346,bull,0.0059782946
2011-03-16,0.0029240088,0.008763126,0.0029240088,bull,0.0058391173
2011-03-17,0.002948459,0.008616401,0.002948459,bull,0.0056679416
2011-03-18,0.0029714925,0.008387533,0.0029714925,bull,0.0054160403
2011-03-21,0.0029180527,0.00848649,0.0029180527,bull,0.0055684373
2011-03-22,0.0028328602,0.008502478,0.0028328602,bull,0.0056696176
2011-03-23,0.002916984,0.0085210325,0.002916984,bull,0.0056040483
2011-03-24,0.0028497488,0.008291452,0.0028497488,bull,0.0054417034
2011-03-25,0.0028709236,0.008048684,0.0028709236,bull,0.0051777605
2011-03-28,0.002646464,0.008159035,0.002646464,bull,0.005512571
2011-03-29,0.002684522,0.008348723,0.002684522,bull,0.005664201
2011-03-30,0.0026801887,0.008104705,0.0026801887,bull,0.0054245163
2011-03-31,0.0025646433,0.008007905,0.0025646433,bull,0.005443262
2011-04-01,0.0027010741,0.007907812,0.0027010741,bull,0.0052067377
2011-04-04,0.0028257826,0.007753695,0.0028257826,bull,0.0049279123
2011-04-05,0.0030280927,0.008040249,0.0030280927,bull,0.0050121564
